user_id,tenure_months,active_days_30d,sessions_30d,family_members,features_used,support_tickets_90d,price_tier,months_since_last_active,autopay,prior_offers,acquisition_channel,mrr,annual_value
3,26.2,4,3,6,8,1,0,2.04,1,1,referral,10.07,120.84
5,15.0,0,0,6,1,0,1,2.67,0,0,paid_search,13.63,163.56
12,11.7,4,7,3,4,0,0,0.79,0,0,paid_search,8.11,97.32
13,16.7,3,11,1,1,1,2,1.06,1,0,organic,20.38,244.56
20,26.2,5,18,1,3,0,1,7.94,1,1,referral,13.61,163.32
21,32.4,3,12,6,4,2,0,2.17,0,0,organic,9.24,110.88
23,24.1,4,13,1,8,0,0,2.07,1,0,organic,8.12,97.44
33,12.0,1,3,1,2,1,0,1.12,1,0,referral,7.79,93.48
40,3.7,7,21,2,6,0,2,1.44,1,2,paid_search,21.85,262.2
42,3.1,3,7,3,6,0,1,1.56,1,1,organic,14.66,175.92
48,25.1,4,8,4,5,0,0,2.43,1,0,paid_search,9.33,111.96
53,15.7,0,2,6,5,1,1,2.44,1,1,app_store,14.68,176.16
55,71.6,5,19,4,7,0,0,1.15,0,0,referral,9.22,110.64
57,8.7,5,5,5,1,0,1,0.13,0,0,paid_search,15.95,191.4
65,15.1,1,1,4,7,0,2,1.48,1,0,app_store,22.22,266.64
67,9.9,5,8,2,8,0,0,0.97,1,0,paid_search,8.66,103.92
70,3.3,2,3,3,7,1,0,0.56,1,0,organic,8.08,96.96
71,22.9,7,20,5,1,1,0,0.09,0,2,organic,9.59,115.08
74,18.9,4,16,3,1,0,0,0.33,1,0,referral,9.1,109.2
85,17.8,6,24,4,7,1,0,3.78,0,2,referral,8.72,104.64
91,6.0,4,7,1,4,1,0,3.91,1,1,paid_search,7.97,95.64
92,27.2,2,2,2,8,1,1,0.55,1,0,organic,13.73,164.76
93,5.5,6,32,3,5,0,0,1.66,0,0,paid_search,8.69,104.28
102,29.4,5,23,5,3,0,0,1.09,1,2,organic,9.66,115.92
109,5.2,3,6,1,2,0,0,2.47,1,0,referral,7.95,95.4
112,25.0,2,5,3,1,0,0,0.28,1,0,app_store,8.6,103.2
116,10.7,6,13,1,2,0,0,0.18,1,2,referral,8.2,98.4
120,9.1,2,4,1,1,0,2,0.85,0,0,paid_search,20.74,248.88
126,1.6,4,2,3,5,0,1,1.61,1,1,organic,14.59,175.08
127,3.6,1,0,3,1,0,0,0.98,0,0,referral,8.04,96.48
128,15.5,5,13,1,2,0,0,1.71,1,0,app_store,7.91,94.92
137,14.9,4,18,3,1,0,0,4.69,1,0,paid_search,7.78,93.36
141,14.4,6,11,3,4,1,1,3.99,1,1,organic,14.89,178.68
142,12.1,4,4,6,4,1,1,1.66,1,0,app_store,16.01,192.12
145,21.4,4,11,2,7,0,0,0.85,0,0,referral,8.23,98.76
146,13.7,3,0,5,6,1,1,7.23,0,0,paid_search,14.63,175.56
150,17.2,4,5,2,7,0,0,0.35,0,0,paid_search,7.72,92.64
152,24.6,5,18,5,4,0,0,0.97,1,2,referral,8.78,105.36
162,5.3,4,24,3,1,0,0,2.45,1,1,referral,8.69,104.28
183,34.6,5,19,4,1,1,0,5.52,1,0,referral,8.6,103.2
187,12.4,4,23,4,3,0,1,1.15,1,0,organic,13.2,158.4
196,29.2,7,27,4,4,1,1,4.38,1,1,app_store,14.78,177.36
197,13.7,1,4,3,3,0,0,4.27,0,0,organic,7.64,91.68
203,15.7,5,16,5,5,0,0,0.47,0,1,paid_search,9.15,109.8
207,36.7,2,0,4,1,1,0,0.35,1,0,organic,8.96,107.52
209,24.3,3,9,3,5,1,1,0.58,0,0,organic,14.54,174.48
219,31.9,2,1,1,2,0,0,8.37,0,2,organic,7.3,87.6
225,3.4,5,16,5,6,0,1,5.47,1,1,organic,13.71,164.52
230,3.1,2,5,1,4,0,0,2.47,1,0,organic,8.22,98.64
233,23.1,5,13,3,2,2,1,4.4,1,4,paid_search,13.26,159.12
240,9.1,1,2,1,2,1,0,2.2,1,0,organic,8.26,99.12
248,12.6,3,9,4,1,0,0,2.42,1,1,paid_search,8.88,106.56
251,15.2,3,16,2,6,1,0,1.41,1,0,organic,8.8,105.6
256,4.2,5,16,1,7,0,1,2.36,1,0,organic,12.1,145.2
260,9.2,0,6,6,6,0,0,1.35,0,0,paid_search,8.66,103.92
264,29.8,5,12,3,8,0,2,2.85,1,0,organic,22.07,264.84
267,27.1,6,14,2,6,0,0,0.04,0,0,organic,8.91,106.92
271,14.8,5,9,3,4,0,1,1.89,1,1,app_store,13.2,158.4
274,4.8,5,16,2,7,0,1,0.45,1,0,paid_search,13.81,165.72
279,15.3,1,5,5,3,0,2,1.26,1,1,organic,23.57,282.84
281,6.5,1,4,3,3,0,0,6.46,1,1,referral,8.7,104.4
291,7.2,2,10,3,3,2,0,1.11,0,0,app_store,7.75,93.0
293,17.7,4,3,4,6,2,1,1.63,1,0,organic,14.2,170.4
294,3.9,1,1,6,6,0,0,3.62,0,0,referral,8.63,103.56
295,10.7,5,21,1,7,1,0,4.41,1,2,organic,8.71,104.52
298,23.1,2,0,4,5,1,0,2.48,0,0,organic,8.32,99.84
300,7.8,2,16,2,7,1,2,2.92,1,1,app_store,20.43,245.16
302,15.5,3,13,4,5,1,0,7.71,0,1,paid_search,9.16,109.92
303,12.2,0,1,6,6,0,0,0.64,1,0,organic,9.72,116.64
304,17.7,1,2,5,5,1,0,0.8,1,1,referral,9.61,115.32
308,12.0,2,1,6,6,1,1,0.39,0,0,app_store,14.97,179.64
310,5.7,3,8,5,6,0,1,3.2,1,0,organic,14.63,175.56
315,14.2,4,10,4,7,0,1,0.14,1,0,referral,12.83,153.96
321,16.9,4,15,5,8,1,0,0.58,1,2,organic,9.65,115.8
323,21.9,7,11,2,5,0,1,0.23,0,0,paid_search,13.15,157.8
342,5.5,6,17,1,4,1,0,0.18,1,0,app_store,8.54,102.48
349,13.3,3,3,1,7,1,2,4.41,1,1,paid_search,18.06,216.72
354,24.8,6,20,4,1,0,0,3.45,1,1,referral,8.01,96.12
355,8.5,5,23,2,3,0,1,0.12,1,0,organic,13.11,157.32
368,4.8,0,3,3,1,1,0,2.85,0,1,app_store,8.93,107.16
375,5.2,1,0,1,1,1,0,1.84,1,1,paid_search,8.2,98.4
388,10.5,1,2,1,3,0,0,2.95,0,0,referral,7.76,93.12
389,12.5,6,18,2,8,1,0,1.03,1,1,referral,8.39,100.68
397,35.9,6,18,2,2,0,0,0.28,1,0,paid_search,7.98,95.76
402,8.1,5,17,3,7,0,1,8.26,1,0,organic,14.6,175.2
419,25.3,5,3,5,3,1,2,1.79,1,0,paid_search,22.11,265.32
421,10.5,4,18,1,1,0,0,0.25,0,0,organic,8.41,100.92
423,21.1,1,5,5,2,0,1,7.05,1,0,organic,13.43,161.16
431,7.4,6,25,1,1,2,1,1.4,1,2,referral,13.09,157.08
434,34.7,5,16,1,8,0,2,2.47,1,1,paid_search,21.17,254.04
436,15.3,2,9,4,4,0,0,1.49,1,0,paid_search,8.64,103.68
442,10.2,5,22,6,8,0,1,5.11,1,0,organic,13.59,163.08
443,5.1,4,18,2,4,0,0,2.33,0,1,app_store,8.56,102.72
451,17.5,2,4,5,1,0,0,3.16,0,1,paid_search,9.53,114.36
452,17.7,5,13,6,3,0,0,3.42,1,0,paid_search,8.37,100.44
456,38.4,3,8,1,3,1,0,1.22,1,0,organic,7.52,90.24
457,33.3,2,8,3,6,1,1,1.05,0,1,paid_search,13.69,164.28
459,10.6,4,4,5,4,0,1,2.04,1,1,referral,15.08,180.96
463,11.4,5,13,1,1,0,0,4.13,1,0,paid_search,8.26,99.12
470,11.5,5,9,6,2,0,1,2.25,1,1,app_store,15.6,187.2
488,24.5,0,0,5,7,0,1,5.19,0,0,paid_search,14.61,175.32
491,9.7,2,5,2,8,0,0,0.69,0,3,referral,7.79,93.48
496,4.1,3,12,1,5,1,1,1.23,0,0,paid_search,14.16,169.92
509,11.3,2,4,3,1,0,1,0.41,1,0,referral,14.0,168.0
511,12.2,4,15,6,7,0,2,0.37,1,0,referral,23.06,276.72
513,17.8,5,10,5,5,0,0,1.47,1,2,organic,8.11,97.32
518,29.4,4,17,1,3,0,1,2.71,0,0,paid_search,12.67,152.04
519,10.0,2,0,6,7,0,0,2.53,0,0,organic,9.49,113.88
525,11.9,3,24,6,5,1,0,4.08,0,0,paid_search,9.66,115.92
528,4.0,5,13,2,7,1,1,0.49,1,0,referral,12.19,146.28
533,19.7,4,9,6,5,1,1,0.29,0,0,organic,13.6,163.2
540,10.1,4,12,4,4,0,1,0.69,0,0,organic,14.41,172.92
542,1.9,1,8,4,1,1,1,0.84,1,1,organic,14.84,178.08
543,6.8,2,3,2,1,1,1,0.64,1,0,organic,13.72,164.64
562,5.6,2,6,2,6,1,2,0.35,1,0,paid_search,21.41,256.92
568,14.9,2,9,6,6,0,1,1.55,1,1,organic,14.36,172.32
573,2.5,1,5,4,3,0,0,2.44,0,0,organic,9.23,110.76
575,4.9,4,20,2,7,1,1,4.3,1,1,app_store,14.49,173.88
576,48.0,2,10,6,3,1,0,7.31,0,0,paid_search,9.96,119.52
592,21.0,6,23,4,7,0,1,4.71,0,4,organic,14.39,172.68
596,16.4,6,10,2,1,0,0,5.74,1,0,organic,8.44,101.28
597,11.1,0,0,5,8,3,1,2.96,0,1,paid_search,13.35,160.2
606,12.0,6,22,4,2,0,0,5.84,1,0,organic,8.26,99.12
621,10.0,1,0,4,7,1,1,3.01,1,0,referral,13.47,161.64
622,9.0,3,9,2,6,0,0,1.55,1,1,organic,8.4,100.8
626,2.2,6,18,6,4,0,0,1.82,0,2,app_store,8.8,105.6
628,14.8,5,18,4,8,0,1,1.56,0,0,organic,13.54,162.48
630,7.7,5,15,5,3,2,0,3.13,1,0,referral,9.3,111.6
631,29.1,2,9,4,7,0,1,1.15,1,1,referral,14.25,171.0
637,4.1,2,4,1,8,0,1,2.03,1,0,referral,13.34,160.08
642,28.0,5,24,1,4,0,1,2.94,1,0,referral,13.61,163.32
649,10.3,4,7,5,3,1,0,8.49,1,1,organic,9.38,112.56
666,26.1,6,8,6,3,1,0,0.6,1,0,app_store,9.58,114.96
667,23.1,2,5,4,5,0,2,1.41,1,0,organic,22.21,266.52
680,10.2,3,7,2,5,0,0,0.88,1,2,referral,8.51,102.12
681,27.8,5,22,4,6,0,0,1.33,1,0,referral,8.23,98.76
682,40.8,5,6,4,8,0,0,0.4,1,0,organic,9.26,111.12
683,35.7,4,20,5,2,2,1,0.71,1,1,paid_search,14.14,169.68
688,42.2,2,3,2,5,0,0,2.92,1,0,app_store,8.65,103.8
708,35.6,6,16,4,6,0,0,0.78,1,1,referral,8.34,100.08
721,5.6,5,15,5,6,1,1,0.8,1,0,referral,15.94,191.28
725,7.6,6,12,1,1,1,0,1.24,0,0,referral,7.21,86.52
729,16.2,2,6,4,1,1,0,5.6,1,0,referral,8.37,100.44
736,7.9,6,15,3,7,0,0,3.78,1,0,app_store,9.06,108.72
737,5.0,6,17,5,6,0,1,0.59,0,0,organic,15.4,184.8
740,27.2,2,4,5,1,1,1,7.33,1,1,app_store,13.24,158.88
743,21.2,4,7,3,1,1,0,1.04,1,1,paid_search,7.81,93.72
746,13.7,2,14,5,6,1,0,0.06,0,0,organic,9.74,116.88
755,21.8,2,1,5,8,0,1,2.48,1,1,referral,14.87,178.44
761,12.4,3,3,2,1,0,0,0.24,1,2,referral,8.7,104.4
768,7.9,7,25,5,4,0,0,7.1,1,0,organic,8.33,99.96
770,31.1,2,6,3,4,0,0,2.13,0,2,organic,7.71,92.52
771,31.5,7,19,3,2,0,0,4.29,0,2,organic,8.0,96.0
779,7.1,3,10,3,2,1,1,0.84,1,0,organic,15.0,180.0
782,15.8,4,13,5,1,1,1,1.79,0,1,paid_search,15.7,188.4
789,26.7,6,19,5,4,1,1,4.36,1,0,paid_search,14.64,175.68
793,36.2,1,0,4,3,0,0,0.53,0,1,organic,9.37,112.44
795,18.6,7,25,4,4,1,1,0.13,1,0,paid_search,13.16,157.92
797,3.2,7,29,5,7,0,0,1.81,1,2,organic,9.02,108.24
798,1.8,3,0,4,7,0,0,3.44,0,2,paid_search,8.95,107.4
800,14.9,1,2,4,4,0,1,1.32,0,0,organic,15.46,185.52
801,5.4,1,2,4,8,0,0,0.81,0,0,referral,8.43,101.16
804,21.9,6,12,1,2,1,0,0.63,0,1,organic,7.65,91.8
807,4.0,6,9,4,2,0,0,0.36,0,2,paid_search,9.05,108.6
811,43.9,6,26,2,5,0,1,2.09,0,1,app_store,13.71,164.52
812,7.8,0,0,1,5,0,1,0.43,1,1,paid_search,14.28,171.36
817,45.5,3,6,2,5,0,0,2.39,1,0,organic,8.26,99.12
829,18.2,6,20,5,2,0,2,1.77,0,1,paid_search,20.45,245.4
831,25.7,5,23,6,1,1,0,2.1,1,0,paid_search,9.14,109.68
835,14.8,3,5,1,1,0,1,1.03,0,0,organic,14.01,168.12
837,17.7,6,18,5,2,1,1,2.53,0,0,app_store,15.04,180.48
838,44.1,5,17,2,7,0,0,1.41,1,1,app_store,8.15,97.8
846,9.1,4,15,6,8,0,0,0.59,0,0,paid_search,9.37,112.44
851,8.9,1,8,5,6,0,2,1.0,1,0,app_store,21.77,261.24
859,6.6,1,3,2,6,0,0,0.98,0,0,app_store,8.34,100.08
867,6.5,5,15,5,6,1,1,0.73,0,0,app_store,13.18,158.16
871,20.0,5,14,1,5,0,0,0.19,1,0,paid_search,7.47,89.64
873,22.6,3,10,4,4,0,0,2.86,0,0,paid_search,8.14,97.68
875,3.1,7,14,3,6,1,0,2.12,1,0,organic,8.79,105.48
877,26.8,1,3,6,7,0,0,0.34,0,1,organic,10.1,121.2
880,12.6,5,8,2,4,0,0,0.85,1,1,paid_search,8.49,101.88
881,15.1,5,17,5,4,0,0,4.28,1,0,paid_search,9.17,110.04
882,5.5,3,8,4,2,0,1,0.16,0,0,referral,15.24,182.88
907,50.8,6,19,3,2,0,1,2.36,1,1,paid_search,12.95,155.4
920,14.0,7,23,1,8,0,1,4.51,1,1,organic,12.6,151.2
924,11.7,4,11,6,1,0,0,4.16,1,0,organic,10.02,120.24
925,11.1,3,8,5,4,0,0,0.93,1,3,referral,9.25,111.0
